Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR ASFS30,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
"[i.e., temp_2m]",[YYYYMMDD hhmmss],[YYYYMMDD hhmmss],"[1,2,3,4]",[details for determination],[last name]
sr50_dist,20210928 000000,20211207 000000,1,"Caution: vegetation and poorly reflected surface in summer causes a surface height that it noisey, assoicated with poor signal and difficult to interpret.",ccox
sr50_dist,20211102 000000,20211102 030000,2,"spikes, bad signal",ccox
sr50_dist,20211101 135500,20211101 135600,2,"spikes, bad signal",ccox
sr50_dist,20211104 011200,20211104 070000,2,"spikes, bad signal",ccox
sr50_dist,20211104 212500,20211104 223000,2,"spikes, bad signal",ccox
sr50_dist,20211105 052000,20211107 174500,2,"spikes, bad signal",ccox
sr50_dist,20211107 203000,20211109 203800,2,"spikes, bad signal",ccox
sr50_dist,20211109 210300,20211109 225000,2,"spikes, bad signal",ccox
sr50_dist,20211110 130000,20211110 235200,2,"spikes, bad signal",ccox
sr50_dist,20211111 104800,20211111 105200,2,"spikes, bad signal",ccox
sr50_dist,20211111 203800,20211111 215500,2,"spikes, bad signal",ccox
sr50_dist,20211111 225300,20211113 064300,2,"spikes, bad signal",ccox
sr50_dist,20211114 133000,20211115 041900,2,"spikes, bad signal",ccox
sr50_dist,20211117 000000,20211117 164500,2,"spikes, bad signal",ccox
sr50_dist,20211121 205200,20211121 212100,2,"spikes, bad signal",ccox
sr50_dist,20211124 174000,20211125 103000,1,"there was snow, but the signal was not good. ",ccox
sr50_dist,20211125 233700,20211125 234000,2,spikes,ccox
sr50_dist,20211126 093000,20211126 154500,1,"prolly snow, but bad signal too",ccox
sr50_dist,20211127 081000,20211127 164500,2,spikes,ccox
sr50_dist,20211128 120000,20211128 151500,2,spikes,ccox
sr50_dist,20211129 102400,20211129 154500,2,spikes,ccox
sr50_dist,20211207 025800,20211207 031600,2,spikes,ccox
sr50_dist,20220503 000000,20221023 074000,1,"Caution: vegetation and poorly reflected surface in summer causes a surface height that it noisey, assoicated with poor signal and difficult to interpret.",ccox
sr50_dist,20221208 034800,20221208 034900,2,spike,ccox
sr50_dist,20221224 191200,20221225 000000,2,spikes,ccox
